iter	Logloss
0	0.6501622788
1	0.6105866199
2	0.5671494186
3	0.5320278322
4	0.4990794184
5	0.4746116837
6	0.4522019045
7	0.4279894322
8	0.409658435
9	0.3893618905
10	0.3739995941
11	0.3570113872
12	0.3444778887
13	0.3309134528
14	0.3193344468
15	0.3060937397
16	0.2946287927
17	0.2836993709
18	0.2738235285
19	0.2681390896
20	0.258412044
21	0.2504924717
22	0.2426454097
23	0.2363806811
24	0.2312711839
25	0.2255646428
26	0.2201397543
27	0.2144819523
28	0.2091958644
29	0.2052842898
30	0.2006289376
31	0.1963853029
32	0.1931348275
33	0.1891516274
34	0.1854279782
35	0.1815183189
36	0.1770324067
37	0.1739410677
38	0.1703744778
39	0.1679708114
40	0.1653441389
41	0.1620351763
42	0.1597987248
43	0.1571022742
44	0.154469796
45	0.1527024128
46	0.1511480617
47	0.1492835219
48	0.147388381
49	0.1450635246
50	0.1432345173
51	0.1416250061
52	0.1393220378
53	0.1379553626
54	0.1363319172
55	0.1352018504
56	0.1344004423
57	0.1328858488
58	0.1314769889
59	0.1298092338
60	0.1287274759
61	0.1273877
62	0.1263349114
63	0.1251296874
64	0.1239047751
65	0.1225770401
66	0.1212728055
67	0.1206116221
68	0.1194661378
69	0.1181137196
70	0.1173048847
71	0.1163782647
72	0.1154609423
73	0.1139216679
74	0.1130299619
75	0.1119351507
76	0.1107958335
77	0.1100752264
78	0.1088558521
79	0.1081264206
80	0.1071911518
81	0.1062823132
82	0.1052919202
83	0.1046826274
84	0.1039261105
85	0.1032468732
86	0.1021829738
87	0.1012372996
88	0.1002763892
89	0.09948801447
90	0.09850607805
91	0.09796427374
92	0.09736517969
93	0.09628286962
94	0.0956049393
95	0.09495460681
96	0.09423121787
97	0.09357012974
98	0.09314104854
99	0.09246116329
100	0.09183821804
101	0.09096427641
102	0.09039071209
103	0.08973748859
104	0.08940540633
105	0.08850344152
106	0.087529294
107	0.08691296037
108	0.08639392211
109	0.08581198695
110	0.08541995229
111	0.08503604139
112	0.0843498266
113	0.08389951606
114	0.08301038146
115	0.08223363987
116	0.0817168718
117	0.08128055253
118	0.0809814058
119	0.0806454964
120	0.08012893725
121	0.07954454387
122	0.07908168412
123	0.07858925495
124	0.07802876388
125	0.07762998791
126	0.07724314836
127	0.07675590303
128	0.07647166561
129	0.07617848551
130	0.07588835951
131	0.07563380783
132	0.07520406846
133	0.07485600894
134	0.07440014001
135	0.07404426066
136	0.07369741287
137	0.07344488661
138	0.0728860043
139	0.07247665214
140	0.07219259155
141	0.07171921241
142	0.07123336122
143	0.07098835457
144	0.07079313623
145	0.07042481524
146	0.07022242703
147	0.06977152933
148	0.06926779926
149	0.0689037774
150	0.06860365251
151	0.06833537491
152	0.06805955104
153	0.06784662786
154	0.06758621449
155	0.0673488699
156	0.06694125059
157	0.06679066944
158	0.06649709434
159	0.06627736757
160	0.06613874864
161	0.06569136429
162	0.06542264948
163	0.06517824353
164	0.06484796364
165	0.06465560692
166	0.06448323653
167	0.06405612507
168	0.06379454419
169	0.06368343991
170	0.06345422839
171	0.06317312719
172	0.06294280789
173	0.06247248446
174	0.06218607509
175	0.06194889072
176	0.06163742657
177	0.061268374
178	0.06091579901
179	0.06072694683
180	0.06051331654
181	0.06031202643
182	0.06008357672
183	0.05986063933
184	0.05963043542
185	0.0594306254
186	0.0591897641
187	0.05895048654
188	0.05875486208
189	0.05863980175
190	0.05846988044
191	0.05822967178
192	0.05808129576
193	0.0578564245
194	0.0575677638
195	0.05738808484
196	0.05722181022
197	0.05688216245
198	0.05657385133
199	0.05620684953
200	0.05600548875
201	0.05587497201
202	0.05559984524
203	0.05542180458
204	0.05526839496
205	0.05514210859
206	0.05501842617
207	0.0548898824
208	0.05469759307
209	0.05447249398
210	0.05428441836
211	0.05404132096
212	0.0538993552
213	0.05375945822
214	0.05353927495
215	0.05338284796
216	0.05312908312
217	0.052988616
218	0.05284074219
219	0.05268143688
220	0.05247114179
221	0.05229653916
222	0.05215631039
223	0.05190247667
224	0.05173512796
225	0.05157321988
226	0.05136106291
227	0.05125795972
228	0.05112857086
229	0.05101055272
230	0.05083067923
231	0.0506969181
232	0.05055241575
233	0.050397909
234	0.05013307478
235	0.04991454056
236	0.04979917177
237	0.04941609834
238	0.04926730117
239	0.04916512625
240	0.04898365152
241	0.04871050778
242	0.04851794226
243	0.04836469366
244	0.0481794375
245	0.04801307996
246	0.04785236175
247	0.04775528317
248	0.04753376144
249	0.04730239632
250	0.04721656088
251	0.04704908939
252	0.04696179228
253	0.04679850145
254	0.04657946853
255	0.0464098135
256	0.04634803286
257	0.04624872959
258	0.04601433786
259	0.04591033867
260	0.045801383
261	0.0456737433
262	0.04556459608
263	0.04550255615
264	0.04536949881
265	0.04524773282
266	0.04510497623
267	0.0449970912
268	0.04484489193
269	0.04470413753
270	0.04459032605
271	0.0444237021
272	0.0443029566
273	0.04416446328
274	0.04405601859
275	0.04392264927
276	0.04384843963
277	0.043690202
278	0.04357137952
279	0.04341778528
280	0.04334299254
281	0.04326860053
282	0.0431314885
283	0.04300018976
284	0.04289511295
285	0.04275924242
286	0.04261006148
287	0.04254380867
288	0.04244058572
289	0.04225678339
290	0.04217122627
291	0.04192334325
292	0.04183912473
293	0.04170160175
294	0.04159001751
295	0.04145428517
296	0.04138611148
297	0.04120599153
298	0.04107130348
299	0.04089781191
300	0.04079427002
301	0.04072977595
302	0.04066960669
303	0.04051498423
304	0.04033119661
305	0.04026247852
306	0.0401517777
307	0.04001198267
308	0.03991958393
309	0.03976183048
310	0.03966329382
311	0.03959511512
312	0.03946763041
313	0.03938524639
314	0.03928476325
315	0.03907836711
316	0.03901623567
317	0.03891724713
318	0.03878658862
319	0.03869843867
320	0.03859034425
321	0.03848254086
322	0.03839835262
323	0.03831551661
324	0.03814332123
325	0.03809228672
326	0.03795319202
327	0.03784511817
328	0.03773207055
329	0.03764659981
330	0.03758665173
331	0.03748894969
332	0.0373982114
333	0.03732141933
334	0.03717606067
335	0.03705917894
336	0.03697069339
337	0.03684178102
338	0.03678005965
339	0.03667271059
340	0.0366377103
341	0.03656121496
342	0.03640755376
343	0.03634751711
344	0.03628927242
345	0.03619457023
346	0.03606450613
347	0.03597288594
348	0.03585930203
349	0.03584225853
350	0.03567906265
351	0.03560584276
352	0.03547663661
353	0.0353948435
354	0.03527841988
355	0.03518109708
356	0.03503334872
357	0.03491652817
358	0.03483715876
359	0.03471797607
360	0.03461330185
361	0.03448299043
362	0.03442429261
363	0.03435973047
364	0.03426417191
365	0.03418875391
366	0.03409618116
367	0.03396336432
368	0.03388644304
369	0.03383146996
370	0.03374729938
371	0.03370261916
372	0.03359062227
373	0.0334180197
374	0.03335023316
375	0.03328232217
376	0.03318779617
377	0.03316272921
378	0.03306963009
379	0.03299602614
380	0.03282373972
381	0.03276766912
382	0.03270224818
383	0.03263005973
384	0.03256212786
385	0.03254544838
386	0.03249500479
387	0.03243033526
388	0.03238445152
389	0.03236413327
390	0.03228039272
391	0.03219853806
392	0.03212205869
393	0.03201735052
394	0.0319565863
395	0.03190495428
396	0.03183744686
397	0.03173850347
398	0.03167627279
399	0.03156809218
400	0.03150135193
401	0.0314442023
402	0.03139160671
403	0.03134404158
404	0.03124716852
405	0.03115247139
406	0.03106321399
407	0.03099055368
408	0.03089772241
409	0.03079582509
410	0.03071298858
411	0.03061840741
412	0.03053644662
413	0.03047300958
414	0.03040327391
415	0.03034087394
416	0.03026113367
417	0.03018823812
