iter	Passed	Remaining
0	162	162588
1	199	99397
2	239	79430
3	261	65182
4	276	55088
5	288	47768
6	298	42327
7	308	38238
8	318	35047
9	327	32465
10	338	30390
11	348	28666
12	357	27163
13	368	25966
14	377	24806
15	387	23844
16	396	22948
17	406	22189
18	416	21526
19	426	20893
20	436	20336
21	447	19906
22	457	19424
23	467	19005
24	476	18596
25	500	18761
26	511	18422
27	521	18092
28	530	17769
29	540	17477
30	550	17202
31	560	16944
32	570	16702
33	579	16471
34	589	16254
35	598	16024
36	607	15815
37	617	15644
38	628	15479
39	638	15335
40	650	15219
41	660	15066
42	669	14905
43	678	14751
44	688	14605
45	699	14504
46	710	14416
47	720	14297
48	730	14177
49	739	14056
50	749	13952
51	760	13860
52	769	13745
53	779	13648
54	788	13552
55	798	13453
56	807	13356
57	817	13270
58	826	13182
59	836	13110
60	845	13018
61	854	12934
62	864	12861
63	875	12810
64	886	12748
65	900	12740
66	912	12712
67	924	12665
68	933	12594
69	943	12536
70	954	12486
71	963	12417
72	973	12359
73	982	12296
74	993	12248
75	1003	12197
76	1016	12183
77	1026	12130
78	1036	12082
79	1045	12026
80	1057	11997
81	1069	11977
82	1079	11925
83	1089	11879
84	1098	11828
85	1110	11802
86	1119	11744
87	1128	11697
88	1137	11641
89	1146	11590
90	1157	11561
91	1165	11504
92	1176	11478
93	1185	11422
94	1197	11403
95	1207	11374
96	1217	11336
97	1227	11300
98	1237	11263
99	1247	11228
100	1256	11184
101	1266	11147
102	1277	11123
103	1287	11094
104	1296	11053
105	1306	11020
106	1318	11007
107	1329	10976
108	1338	10937
109	1348	10908
110	1358	10880
111	1368	10853
112	1378	10823
113	1389	10800
114	1399	10770
115	1409	10743
116	1418	10705
117	1428	10675
118	1437	10645
119	1447	10616
120	1457	10585
121	1466	10555
122	1477	10533
123	1486	10502
124	1497	10479
125	1506	10453
126	1516	10421
127	1528	10411
128	1538	10386
129	1548	10364
130	1559	10342
131	1569	10318
132	1578	10287
133	1588	10263
134	1597	10234
135	1607	10210
136	1619	10201
137	1632	10196
138	1642	10172
139	1651	10146
140	1661	10123
141	1670	10096
142	1680	10071
143	1690	10051
144	1701	10032
145	1711	10012
146	1720	9986
147	1730	9961
148	1740	9937
149	1749	9916
150	1759	9894
151	1769	9873
152	1779	9849
153	1788	9826
154	1798	9803
155	1807	9780
156	1818	9765
157	1828	9746
158	1841	9737
159	1852	9725
160	1863	9712
161	1874	9694
162	1883	9674
163	1893	9651
164	1904	9636
165	1915	9624
166	1924	9599
167	1934	9579
168	1943	9555
169	1955	9547
170	1966	9534
171	1976	9512
172	1987	9500
173	1997	9482
174	2007	9465
175	2019	9456
176	2030	9440
177	2041	9427
178	2051	9409
179	2061	9390
180	2070	9370
181	2081	9353
182	2090	9334
183	2099	9309
184	2110	9299
185	2120	9279
186	2130	9263
187	2139	9242
188	2150	9227
189	2161	9216
190	2172	9201
191	2183	9187
192	2193	9171
193	2203	9152
